"","elw_m","elw_n","elw2s_v0","elw2s_v1","elw2s_h0","elw2s_h1","gph","hou_perron","local_w"
"FRA",1.20732268004177,1.02229942059322,1.70975825321621,1.70975825321621,0.821874476620988,0.821874476620988,1.04295905413304,0.99,1.5166593261638
"GAB",0.810556345772531,0.998682495455941,0.325819354629013,0.325819354629013,0.790760189106903,0.790760189106903,0.705116133030367,0.802945445677954,0.324367645586767
"GBR",1.05329941963834,0.0693284994994152,1.17154320100364,1.17154320100364,0.81867497263848,0.81867497263848,1.04903058486946,0.99,1.35755906517706
"GHA",1.14382005765712,1.01893716136954,1.18494005926473,1.18494005926473,1.18493486898446,1.18493486898446,1.18325434594796,0.99,0.624670330897993
"GIN",1.29891675159817,1.01123005358467,1.25623792083633,1.25623792083633,1.25623359867723,1.25623359867723,1.32180605146733,0.99,1.44830572916677
"GMB",0.662512173555894,1.03391585937013,0.714610054163258,0.714610054163258,0.714610237353756,0.714610237353756,0.636425097055088,0.579824380913868,0.230835927515586
"GNB",0.214214046491629,1.0123486441052,0.217652242116718,0.217652242116718,1.09403445152895,1.09403445152895,0.507326133362837,0.255982796857213,0.119139164780015
"GNQ",1.32391491485079,1.09193922444491,0.836662376782015,0.836662376782015,1.26993673118008,1.26993673118008,1.30932359189505,0.99,0.932767919318936
"GRC",1.20888805928601,1.01710592843729,1.72291190145469,1.72291190145469,1.27140688679398,1.27140688679398,1.14675642804908,0.99,1.68114274118897
"GRD",1.14939932164312,1.04210773815058,2.49993983685702,2.49993983685702,1.16792857864377,1.16792857864377,1.16277590372933,0.99,2.49993983685702
"GTM",1.21028948189049,1.0372843720063,1.7309436823508,1.7309436823508,1.73094129817967,1.73094129817967,1.04287787428046,0.99,1.61879743800282
"HKG",1.21695302468247,1.06160902881448,-0.498515721864542,-0.498515721864542,0.775151946084288,0.775151946084288,1.16041845239283,0.99,-0.498515721864542
"HND",1.35252132640646,1.04372479689794,1.21839328918301,1.21839328918301,0.832051630622762,0.832051630622762,1.2076065856046,0.99,1.11839280818812
"HTI",0.967184168075191,1.0311247031234,1.18511853508315,1.18511853508315,0.83551874305042,0.83551874305042,0.770715291923125,0.853583700163742,1.16082187968407
"HUN",1.62790795239249,1.03800411974946,0.3124466679259,0.3124466679259,1.6565069406012,1.6565069406012,1.93372912436547,0.99,0.3124466679259
"IDN",1.58448248580836,1.14881528370271,0.971078044616894,0.971078044616894,1.8053420322739,1.8053420322739,1.18623253307473,0.99,0.971078044616894
"IND",1.36389245535374,1.09739361884889,1.30865833055637,1.30865833055637,1.69169343478233,1.69169343478233,1.05225266908991,0.99,1.20357900243416
"IRL",1.30196625179082,1.03900553529132,2.23046897687522,2.23046897687522,1.27579450149594,1.27579450149594,0.933141738494653,0.968772021698162,2.0915292533145
"IRN",1.19995054907485,1.01299261749469,1.68816793422723,1.68816793422723,1.6881674009083,1.6881674009083,1.0522867458712,0.99,1.62973013596923
"IRQ",1.10946291266295,1.03432352090292,1.18953207677279,1.18953207677279,1.63837127658824,1.63837127658824,1.07839022946,0.956604922751921,0.670755694568678
"ISL",0.778202599543672,1.00655730017727,0.741243728645582,0.741243728645582,0.741243722424219,0.741243722424219,0.831421172808361,0.338766019922827,0.614998420925386
"ISR",1.05023836912967,1.02122365297708,1.4857751304436,1.4857751304436,1.95915671443259,1.95915671443259,0.964267705198844,0.947446342534933,1.4857751304436
"ITA",1.09846108122958,1.02031834985677,1.06615369767724,1.06615369767724,0.806510840968729,0.806510840968729,1.03864849907054,0.99,1.06615369767724
"JAM",1.4252930310338,0.0417613339101882,1.29201070726629,1.29201070726629,1.76955390486981,1.76955390486981,1.32563177339664,0.99,1.36468145600481
"JOR",1.12804082520518,1.01696247523743,1.2609313724941,1.2609313724941,2.4426912835961,2.4426912835961,0.938289918715977,0.958122749788728,1.4820285537364
